,RIC,name
199,NEXI.PA,NEXITY ORD
200,NEXS.PA,NEXANS PARIS ORD
201,NHY.OL,NORSK HYDRO ORD
202,NN.AS,NN GROUP ORD SHS
203,NOKIA.HE,NOKIA ORD
204,NOVOb.CO,NOVO-NORDISK ORD
205,NSISb.CO,NOVOZYMES ORD
206,OCI.AS,OCI
207,ONTEX.BR,ONTEX GRP NV
208,OPM.PA,PLASTIC OMNIUM ORD
209,ORAN.PA,ORANGE ORD
210,OREP.PA,L OREAL S.A.
211,ORK.OL,ORKLA ORD
212,ORNBV.HE,ORION ORD
213,ORSTED.CO,ORSTED ORD
214,OUT1V.HE,OUTOKUMPU OYJ ORD
215,PERP.PA,PERNOD-RICARD ORD
216,PEUP.PA^A21,PEUGEOT SA ORD
217,PHG.AS,KONINKLIJKE PHILIPS NV
218,PNDORA.CO,PANDORA ORD
219,PROX.BR,PROXIMUS
220,PRTP.PA,KERING SA
221,PRX.AS,
222,PTNL.AS,POSTNL ORD
223,PUBP.PA,PUBLICIS GROUPE ORD
224,QDT.PA,QUADIENT ORD
225,RAND.AS,RANDSTAD ORD
226,RBREW.CO,ROYAL UNIBREW ORD
227,RCOP.PA,REMY COINTREAU ORD
228,REL.AS,RELX PLC ORD
229,RENA.PA,RENAULT PAR
230,RUBF.PA,RUBIS ORD
231,RWEG.DE,RWE ST A ORD
232,RXL.PA,REXEL ORD
233,SAF.PA,SAFRAN ORD
234,SALM.OL,SALMAR ORD
235,SAMPO.HE,SAMPO PLC ORD
236,SAND.ST,SANDVIK ORD
237,SAPG.DE,SAP SE ORD
238,SASY.PA,SANOFI-AVENTIS ORD
239,SBMO.AS,SBM OFFSHORE ORD
240,SCAb.ST,SVENSKA CELLULOSA ORD
241,SCHN.PA,SCHNEIDER ELECTRIC SE
242,SCOR.PA,SCOR SE ORD
243,SEBF.PA,SEB ORD
244,SEBa.ST,SKANDINAVISKA ENSKILDAANKEN ORD
245,SECUb.ST,SECURITAS ORD
246,SESFd.PA,SES SA GDR
247,SEVI.PA^B22,SUEZ ORD
248,SGEF.PA,VINCI ORD
249,SGOB.PA,SAINT-GOBAIN ORD
250,SHBa.ST,SVENSKA HANDELSBANKEN ORD
251,SHEL.AS,ROYAL DUTCH SHELL ORD SH A
252,SIEGn.DE,SIEMENS ORD
253,SIM.CO^J23,SIMCORP ORD
254,SKAb.ST,SKANSKA ORD
255,SKFb.ST,SKF ORD
256,SOF.BR,SOFINA ORD
257,SOGN.PA,SOCIETE GENERALE ORD
258,SOIT.PA,SOITEC SA ORD
259,SOLB.BR,SOLVAY ORD
261,SOPR.PA,SOPRA STERIA GROUP
262,SPIE.PA,SPIE PROMESSES ORD SHS
263,SSABa.ST,SSAB SWEDISH STAL SR A ORD
264,STB.OL,UNI STOREBRAND ORD
265,STDM.PA,STEDIM ORD
266,STERV.HE,STORA ENSO R ORD
267,STMPA.PA,STMICROELECTRONICS ORD
268,SUBC.OL,SUBSEA ORD
269,SWEDa.ST,SWEDBANK ORD
270,SWMA.ST^A23,SWEDISH MATCH ORD
271,TCFP.PA,THALES ORD
272,TEL.OL,TELENOR ORD
273,TEL2b.ST,TELE2 ORD
274,TELIA.ST,TELIA CO AB ORD
275,TELIA1.HE,TELIA CO AB ORD
276,TEPRF.PA,TELEPERFORMANCE ORD
277,TFFP.PA,TF1 ORD
278,TGS.OL,TGS-NOPEC GEO ORD
